period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base
validation,z,tau,10m,G-raw-1d,209550,366,0.08496,0.083666,0.086216,0.29112,0.2866,0.29618,0.021246,0.018274,0.024242,0.004245,0.0035958,0.0049229,0.0015128,G-raw-2h
validation,z,tau,5m,G-raw-1d,209550,366,0.081502,0.080144,0.082871,0.27929,0.27439,0.28417,0.021556,0.018616,0.024695,0.0045105,0.0038502,0.0051857,0.00042472,G-raw-2h
validation,z,tau,3m,G-raw-1d,209550,366,0.079854,0.078679,0.081093,0.27467,0.27034,0.27932,0.023286,0.020302,0.026498,0.0048605,0.0041354,0.0056325,0.0009592,G-raw-2h
validation,z,tau,2m,G-raw-1d,209550,366,0.079457,0.078056,0.080796,0.2747,0.26963,0.27942,0.023796,0.020811,0.026978,0.0050855,0.0043889,0.0058298,0.00045812,G-raw-2h
validation,z,tau,60m,G-seas-10m,209550,366,0.086716,0.085,0.088479,0.30023,0.29317,0.3081,0.0066281,0.0034627,0.010038,-0.00049497,-0.0007344,-0.00022064,0.0027869,G-raw-2h
validation,z,tau,45m,G-seas-10m,209550,366,0.085518,0.083806,0.087179,0.29012,0.28324,0.29691,0.0013176,-0.0013482,0.0041909,-0.00068182,-0.00092174,-0.00044025,0.0014984,G-raw-2h
validation,z,tau,30m,G-seas-10m,209550,366,0.083835,0.082283,0.0854,0.2832,0.27689,0.29006,-0.0019143,-0.004622,0.00091112,-0.0011415,-0.0013981,-0.00088637,-0.0020425,G-raw-2h
validation,z,tau,20m,G-seas-10m,209550,366,0.079449,0.078038,0.080932,0.26756,0.26197,0.27348,-0.0036212,-0.0060815,-0.0011305,-0.0012124,-0.0014454,-0.00095643,0.00073968,G-raw-2h
validation,z,tau,15m,G-seas-10m,209550,366,0.080011,0.078622,0.081491,0.26713,0.26165,0.27296,-0.0042294,-0.0064159,-0.0018686,-0.0011822,-0.0014102,-0.00093598,-0.00013839,G-raw-2h
validation,z,tau,10m,G-seas-10m,209550,366,0.079571,0.078178,0.080821,0.26494,0.25962,0.26997,-0.0049385,-0.0068865,-0.0029746,-0.0011441,-0.0013951,-0.00090261,0.0015128,G-raw-2h
