period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,layout
validation,z,tau,15m,T-blend,209550,366,0.079592,0.078134,0.081124,0.26177,0.2569,0.26679,-0.0003969,-0.00071231,-7.164e-05,-6.1637e-05,-0.00010759,-1.1255e-05,-0.00013839,flat|T-blend,day_type/60m/UTC
validation,z,tau,10m,T-blend,209550,366,0.079064,0.077609,0.080365,0.26025,0.2555,0.26484,-0.00024934,-0.00047399,-2.0062e-05,-5.1155e-05,-8.4211e-05,-1.7002e-05,0.0015128,flat|T-blend,day_type/60m/UTC
validation,z,tau,5m,T-blend,209550,366,0.074764,0.073267,0.076187,0.24619,0.2414,0.25081,-0.00030003,-0.00053229,-8.0606e-05,-4.5116e-05,-7.8472e-05,-1.3847e-05,0.00042472,flat|T-blend,day_type/60m/UTC
validation,z,tau,3m,T-blend,209550,366,0.072419,0.07102,0.073813,0.23881,0.23414,0.2434,-0.00021307,-0.00040381,-2.2679e-05,-2.8991e-05,-5.8108e-05,-2.1299e-06,0.0009592,flat|T-blend,day_type/60m/UTC
validation,z,tau,2m,T-blend,209550,366,0.071468,0.070006,0.072857,0.23704,0.23226,0.24176,-4.5496e-05,-0.00023102,0.00012724,-1.1931e-05,-3.7689e-05,1.3697e-05,0.00045812,flat|T-blend,day_type/60m/UTC
validation,z,tau,60m,G-blend,209550,366,0.086864,0.085274,0.088468,0.28826,0.28324,0.29344,0.0020416,0.00070939,0.0033775,0.00060711,0.00035216,0.00088519,0.0027869,flat|T-blend,day_type/60m/ET
validation,z,tau,45m,G-blend,209550,366,0.085781,0.084176,0.087285,0.28373,0.27849,0.28892,0.0020976,0.0009934,0.0032081,0.00060123,0.00038332,0.00083715,0.0014984,flat|T-blend,day_type/60m/ET
validation,z,tau,30m,G-blend,209550,366,0.084198,0.082748,0.08567,0.27832,0.27335,0.28337,0.0014216,0.00047453,0.0023839,0.00041069,0.00022696,0.00059432,-0.0020425,flat|T-blend,day_type/60m/ET
validation,z,tau,20m,G-blend,209550,366,0.079704,0.07832,0.081092,0.26528,0.26029,0.27021,0.0038167,0.0029858,0.0047459,0.00080662,0.00064657,0.00098591,0.00073968,flat|T-blend,day_type/60m/ET
validation,z,tau,15m,G-blend,209550,366,0.08017,0.078816,0.081587,0.26524,0.26046,0.27019,0.0030753,0.0023688,0.0039126,0.00051591,0.00038307,0.00065178,-0.00013839,flat|T-blend,day_type/60m/ET
validation,z,tau,10m,G-blend,209550,366,0.079533,0.078156,0.080753,0.26313,0.25836,0.26785,0.0026313,0.0019441,0.0033458,0.00041735,0.00030188,0.00053801,0.0015128,flat|T-blend,day_type/60m/ET
validation,z,tau,5m,G-blend,209550,366,0.075199,0.0738,0.076524,0.24871,0.24401,0.25328,0.0022197,0.0016438,0.0028414,0.00039008,0.00028049,0.00050384,0.00042472,flat|T-blend,day_type/60m/ET
validation,z,tau,3m,G-blend,209550,366,0.072773,0.071455,0.074103,0.24114,0.2364,0.24599,0.002113,0.0014894,0.0027555,0.00032527,0.00022011,0.00043201,0.0009592,flat|T-blend,day_type/60m/ET
validation,z,tau,2m,G-blend,209550,366,0.071874,0.070504,0.073181,0.24017,0.23522,0.2451,0.0030849,0.0022862,0.0039946,0.00039403,0.00028371,0.00051253,0.00045812,flat|T-blend,day_type/60m/ET
validation,z,tau,60m,T-blend,209550,366,0.085807,0.084041,0.087625,0.2833,0.27773,0.289,-0.0029254,-0.0036785,-0.0022112,-0.00044998,-0.0005617,-0.00034327,0.0027869,flat|T-blend,day_type/60m/ET
validation,z,tau,45m,T-blend,209550,366,0.084815,0.083081,0.086505,0.27933,0.2739,0.28473,-0.0022998,-0.0028573,-0.0017185,-0.00036481,-0.00044256,-0.00028092,0.0014984,flat|T-blend,day_type/60m/ET
validation,z,tau,30m,T-blend,209550,366,0.083518,0.081895,0.085135,0.2749,0.26975,0.28002,-0.0019932,-0.002471,-0.0014997,-0.00026914,-0.00033895,-0.0002011,-0.0020425,flat|T-blend,day_type/60m/ET
validation,z,tau,20m,T-blend,209550,366,0.078835,0.07733,0.080363,0.26096,0.25593,0.26588,-0.0005047,-0.00082268,-0.00016842,-6.1991e-05,-0.0001083,-8.5605e-06,0.00073968,flat|T-blend,day_type/60m/ET
validation,z,tau,15m,T-blend,209550,366,0.079597,0.078145,0.081148,0.26182,0.25686,0.26688,-0.0003414,-0.00063951,-3.4292e-05,-5.705e-05,-9.8196e-05,-1.3844e-05,-0.00013839,flat|T-blend,day_type/60m/ET
validation,z,tau,10m,T-blend,209550,366,0.079064,0.077615,0.080371,0.26027,0.25559,0.26476,-0.00023111,-0.00046365,-6.6346e-06,-5.1557e-05,-8.5248e-05,-1.7333e-05,0.0015128,flat|T-blend,day_type/60m/ET
validation,z,tau,5m,T-blend,209550,366,0.074775,0.073284,0.076193,0.24627,0.2415,0.25093,-0.00022437,-0.00043698,-9.6025e-06,-3.331e-05,-6.3624e-05,-3.5535e-06,0.00042472,flat|T-blend,day_type/60m/ET
validation,z,tau,3m,T-blend,209550,366,0.072424,0.07102,0.073819,0.23886,0.23421,0.24347,-0.000164,-0.00035803,1.7918e-05,-2.3971e-05,-5.1369e-05,9.7447e-07,0.0009592,flat|T-blend,day_type/60m/ET
validation,z,tau,2m,T-blend,209550,366,0.071462,0.069997,0.07285,0.23702,0.23222,0.24175,-6.7796e-05,-0.00024556,0.00011363,-1.8467e-05,-4.1749e-05,6.0444e-06,0.00045812,flat|T-blend,day_type/60m/ET
validation,z,tau,60m,G-blend,209550,366,0.086899,0.085308,0.088511,0.28839,0.28331,0.29358,0.0021662,0.00081328,0.0034921,0.00064218,0.00037766,0.00092653,0.0027869,flat|T-blend,day_type/30m/ET
validation,z,tau,45m,G-blend,209550,366,0.085749,0.084153,0.087268,0.28373,0.27854,0.28894,0.0020995,0.00091007,0.0033136,0.00056906,0.00034313,0.00081483,0.0014984,flat|T-blend,day_type/30m/ET
validation,z,tau,30m,G-blend,209550,366,0.083989,0.082536,0.085424,0.27758,0.27269,0.28286,0.00068169,-0.00051617,0.0018967,0.00020139,-4.1055e-06,0.00040893,-0.0020425,flat|T-blend,day_type/30m/ET
validation,z,tau,20m,G-blend,209550,366,0.079623,0.078241,0.081009,0.26509,0.26008,0.27006,0.0036233,0.0026418,0.0046962,0.00072544,0.00056296,0.00091428,0.00073968,flat|T-blend,day_type/30m/ET
validation,z,tau,15m,G-blend,209550,366,0.080127,0.078773,0.081548,0.26519,0.26037,0.27014,0.0030243,0.002224,0.003959,0.00047293,0.00033184,0.00061601,-0.00013839,flat|T-blend,day_type/30m/ET
validation,z,tau,10m,G-blend,209550,366,0.079503,0.078132,0.080738,0.26308,0.25826,0.26793,0.0025845,0.001795,0.0034235,0.00038771,0.00026387,0.0005104,0.0015128,flat|T-blend,day_type/30m/ET
validation,z,tau,5m,G-blend,209550,366,0.075188,0.073795,0.076515,0.2487,0.24397,0.25327,0.0022034,0.0015647,0.0028844,0.00037927,0.00026737,0.00049673,0.00042472,flat|T-blend,day_type/30m/ET
validation,z,tau,3m,G-blend,209550,366,0.072771,0.071457,0.074098,0.24119,0.23646,0.24604,0.0021625,0.001495,0.002856,0.00032281,0.00021471,0.00043027,0.0009592,flat|T-blend,day_type/30m/ET
validation,z,tau,2m,G-blend,209550,366,0.071889,0.070516,0.0732,0.24028,0.23528,0.24522,0.0031912,0.0023876,0.0040782,0.00040873,0.00029942,0.0005276,0.00045812,flat|T-blend,day_type/30m/ET
validation,z,tau,60m,T-blend,209550,366,0.085839,0.084086,0.087667,0.28346,0.27788,0.2892,-0.0027613,-0.0035208,-0.0020398,-0.00041802,-0.00053324,-0.00030715,0.0027869,flat|T-blend,day_type/30m/ET
validation,z,tau,45m,T-blend,209550,366,0.08477,0.083031,0.086471,0.27915,0.27375,0.28459,-0.0024819,-0.0030814,-0.0018403,-0.00040922,-0.000498,-0.00031557,0.0014984,flat|T-blend,day_type/30m/ET
validation,z,tau,30m,T-blend,209550,366,0.083334,0.08174,0.084939,0.27392,0.26893,0.27908,-0.0029824,-0.0036715,-0.0022652,-0.00045374,-0.0005507,-0.00035328,-0.0020425,flat|T-blend,day_type/30m/ET
validation,z,tau,20m,T-blend,209550,366,0.078776,0.077293,0.080311,0.26066,0.25567,0.26564,-0.00080474,-0.0011983,-0.0003728,-0.00012157,-0.00017868,-5.1497e-05,0.00073968,flat|T-blend,day_type/30m/ET
validation,z,tau,15m,T-blend,209550,366,0.079568,0.078115,0.081092,0.26171,0.25688,0.26676,-0.0004605,-0.00081857,-7.3017e-05,-8.5995e-05,-0.00013663,-3.1954e-05,-0.00013839,flat|T-blend,day_type/30m/ET
