contracts_per_fill,fee_bps,p_informed,policy,param,hours,mean_net,sd_net,mean_hedge_cost,turnover_btc_per_h,contracts_per_h,cost_c_per_contract,se_mean,util_lam0.0001,util_lam0.001,util_lam0.01
250,5,0,mv_band,0.001,14967,-13.1354,331.979,9.88661,0.209474,4981.19,0.198479,2.77701,-18.6459,-68.2405,-564.186
250,5,0,mv_band,0.01,14967,-211.213,246.446,210.182,4.35456,4981.19,4.21952,2.83969,-214.25,-241.581,-514.891
250,5,0,none,0,14967,-4.62262,359.792,0,0,4981.19,0,2.97617,-11.0951,-69.3476,-651.873
250,5,0,timed,5,14967,-277.666,270.529,277.131,5.7049,4981.19,5.56356,3.73701,-281.325,-314.259,-643.594
250,5,0,timed,15,14967,-140.765,291.938,137.909,2.84929,4981.19,2.76859,2.96063,-145.026,-183.378,-566.903
250,12,0,band,0.02,14967,-1247.56,836.968,1248.49,11.284,4981.19,25.0641,14.1488,-1282.59,-1597.82,-4750.14
250,12,0,band,0.05,14967,-1159.26,826.381,1160.23,10.4942,4981.19,23.2923,13.7844,-1193.4,-1500.71,-4573.79
250,12,0,band,0.1,14967,-1052.33,810.945,1053.41,9.53837,4981.19,21.1477,13.3194,-1085.21,-1381.15,-4340.49
250,12,0,band,0.25,14967,-861.302,775.83,862.26,7.82327,4981.19,17.3103,12.2668,-891.397,-1162.26,-3870.86
250,12,0,band,0.5,14967,-699.382,742.956,699.815,6.36159,4981.19,14.0491,11.2342,-726.981,-975.374,-3459.3
250,12,0,continuous,0,14967,-1331.79,844.182,1332.68,12.0371,4981.19,26.7542,14.4911,-1367.42,-1688.11,-4895
250,12,0,fill_only,0,14967,-570.154,368.46,567.208,5.12217,4981.19,11.387,5.89925,-576.942,-638.035,-1248.97
250,12,0,mv_band,0.0001,14967,-4.62262,359.792,0,0,4981.19,0,2.97617,-11.0951,-69.3476,-651.873
250,12,0,mv_band,0.001,14967,-6.79271,355.057,2.36631,0.0225154,4981.19,0.0475049,2.94265,-13.096,-69.8255,-637.121
250,12,0,mv_band,0.01,14967,-231.777,304.783,229.829,2.10598,4981.19,4.61393,4.14421,-236.422,-278.224,-696.241
250,12,0,none,0,14967,-4.62262,359.792,0,0,4981.19,0,2.97617,-11.0951,-69.3476,-651.873
250,12,0,timed,5,14967,-630.378,413.428,629.844,5.7049,4981.19,12.6444,7.58869,-638.924,-715.84,-1484.99
250,12,0,timed,15,14967,-316.285,339.839,313.429,2.84929,4981.19,6.29224,4.65436,-322.059,-374.03,-893.738
250,0.6,0.3,band,0.02,14967,-114.291,181.035,111.312,11.4159,5000.63,2.22595,1.80823,-115.929,-130.677,-278.16
250,0.6,0.3,band,0.05,14967,-111.047,181.349,103.58,10.629,5000.63,2.07134,1.76726,-112.691,-127.49,-275.483
250,0.6,0.3,band,0.1,14967,-109.606,183.256,94.1795,9.67229,5000.63,1.88335,1.73454,-111.285,-126.397,-277.519
250,0.6,0.3,band,0.25,14967,-112.677,194.907,77.2349,7.94474,5000.63,1.5445,1.78541,-114.577,-131.672,-302.62
