period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,variant
test,z,tau,2m,G-blend,375125,632,0.066542,0.065503,0.06753,0.22356,0.21994,0.22737,0,0,0,0,0,0,-0.00012129,G-blend,main
test,z,tau,60m,T-blend,375125,632,0.086107,0.084906,0.087295,0.28227,0.27836,0.28616,-0.0028748,-0.0033551,-0.0024238,-0.00052147,-0.00062319,-0.00042672,-0.00027058,G-blend,main
test,z,tau,45m,T-blend,375125,632,0.084346,0.083234,0.085488,0.27687,0.27332,0.28049,-0.0028015,-0.0032353,-0.0023971,-0.00055026,-0.0006428,-0.00045884,-0.001097,G-blend,main
test,z,tau,30m,T-blend,375125,632,0.083778,0.082598,0.084936,0.27435,0.2706,0.2781,-0.002506,-0.0029148,-0.0020957,-0.00042218,-0.00050708,-0.00033714,-0.00075575,G-blend,main
test,z,tau,20m,T-blend,375125,632,0.078803,0.077624,0.080003,0.25946,0.25577,0.26349,-0.0027783,-0.0032356,-0.0023159,-0.00046608,-0.00055345,-0.0003799,0.0011929,G-blend,main
test,z,tau,15m,T-blend,375125,632,0.078203,0.0771,0.079354,0.25686,0.25328,0.26091,-0.0024592,-0.0028782,-0.0020493,-0.00042591,-0.00049216,-0.00035656,0.00053449,G-blend,main
test,z,tau,10m,T-blend,375125,632,0.076217,0.075215,0.077305,0.25076,0.24762,0.25412,-0.0024269,-0.0028697,-0.0019882,-0.00042216,-0.0004813,-0.0003574,-8.6638e-05,G-blend,main
test,z,tau,5m,T-blend,375125,632,0.070105,0.069034,0.071195,0.23191,0.22855,0.2354,-0.0026724,-0.0031313,-0.0022361,-0.00050711,-0.00057325,-0.0004377,-0.0020113,G-blend,main
test,z,tau,3m,T-blend,375125,632,0.067341,0.066351,0.068401,0.22425,0.22088,0.22774,-0.0034945,-0.0040032,-0.0030208,-0.00059943,-0.00067216,-0.00053086,0.0004092,G-blend,main
test,z,tau,2m,T-blend,375125,632,0.065856,0.064767,0.066908,0.21993,0.21637,0.2235,-0.0036295,-0.004154,-0.0030844,-0.00068619,-0.00076504,-0.00060173,-0.00012129,G-blend,main
