period,model,param,tau_min,mean,min,max
validation,blend,w_6h,15,0,0,0
validation,blend,w_6h,20,0.01985,0,0.1442
validation,blend,w_6h,30,0.1203,0,0.312
validation,blend,w_6h,45,0.1958,0,0.3465
validation,blend,w_6h,60,0.1949,0,0.3384
validation,blend_raw,w_10m,2,0.6479,0.6073,0.713
validation,blend_raw,w_10m,3,0.6555,0.6218,0.6963
validation,blend_raw,w_10m,5,0.7104,0.6545,0.778
validation,blend_raw,w_10m,10,0.7437,0.6574,0.8138
validation,blend_raw,w_10m,15,0.7454,0.6226,0.8459
validation,blend_raw,w_10m,20,0.6782,0.489,0.845
validation,blend_raw,w_10m,30,0.5536,0.3827,0.6584
validation,blend_raw,w_10m,45,0.7684,0.4379,0.9411
validation,blend_raw,w_10m,60,0.7522,0.4863,1.086
validation,blend_raw,w_1d,2,0.01565,0.005078,0.02679
validation,blend_raw,w_1d,3,0.02445,0.0144,0.03742
validation,blend_raw,w_1d,5,0.05083,0.03627,0.07121
validation,blend_raw,w_1d,10,0.02467,0.01017,0.05052
validation,blend_raw,w_1d,15,0.03306,0.01193,0.05267
validation,blend_raw,w_1d,20,0.05667,0.006008,0.1072
validation,blend_raw,w_1d,30,0.07532,0.008992,0.1267
validation,blend_raw,w_1d,45,0.04205,0,0.07842
validation,blend_raw,w_1d,60,0.04607,0.006852,0.1053
validation,blend_raw,w_2h,2,0.128,0.1051,0.1584
validation,blend_raw,w_2h,3,0.1215,0.07204,0.1563
validation,blend_raw,w_2h,5,0.09952,0.07034,0.1397
validation,blend_raw,w_2h,10,0.1265,0.06984,0.1754
validation,blend_raw,w_2h,15,0.1698,0.01238,0.2868
validation,blend_raw,w_2h,20,0.1897,0.05075,0.3279
validation,blend_raw,w_2h,30,0.05593,0,0.1996
validation,blend_raw,w_2h,45,0.3926,0.1824,0.5337
validation,blend_raw,w_2h,60,0.3026,0.1388,0.4242
validation,blend_raw,w_30m,2,0,0,0
validation,blend_raw,w_30m,3,0.01002,0,0.06765
validation,blend_raw,w_30m,5,0.03428,0,0.1382
validation,blend_raw,w_30m,10,0.09384,0.009647,0.25
validation,blend_raw,w_30m,15,0.1306,0,0.3603
validation,blend_raw,w_30m,20,0.1403,0,0.3609
validation,blend_raw,w_30m,30,0.4322,0.3144,0.5623
validation,blend_raw,w_30m,45,0.08413,0,0.415
validation,blend_raw,w_30m,60,0.2884,0,0.781
validation,blend_raw,w_6h,2,0.004467,0,0.02682
validation,blend_raw,w_6h,3,0.005068,0,0.03185
validation,blend_raw,w_6h,5,0,0,0
validation,blend_raw,w_6h,10,0.02226,0,0.06589
validation,blend_raw,w_6h,15,0.007256,0,0.03664
validation,blend_raw,w_6h,20,0.0008642,0,0.01037
validation,blend_raw,w_6h,30,0.07145,0,0.1841
validation,blend_raw,w_6h,45,0.009367,0,0.03833
validation,blend_raw,w_6h,60,0.03086,0,0.09067
